job_title,education,skills,experience_years,certificates
INFORMATION-TECHNOLOGY,education to contribute to company s operations and learning opportunities where i can maximize my ,"['excel', 'r']",0,
INFORMATION-TECHNOLOGY,education associate of science business administration 1996 mchenry county college city state business administration interests algonquin argonauts football board of directors secretary algonquin argonauts football assistant coach offensive coordinator additional information affiliations algonquin argonauts football board of directors secretary algonquin argonauts football assistant coach offensive coordinator ,"['excel', 'sql', 'r']",0,
INFORMATION-TECHNOLOGY,education bs computer system engineer january 29 2000 fundacion universidad autonoma de colombia city colombia computer system engineer computer technician april 26 1997 ,"['sql', 'r']",0,certification authority in windows server 2003 for web application administration maintenance and daily backup for a database sybase sql anywhere 9 0 maintenance and creation of desktop applications power builder 6 5 power builder 9 0 technical support for 300 branch offices new installation and updates of software and hardware information systems administrator january 2001 to july 2001 company name city state technical support for 10 network users and 100 branch offices implemented terminal service to be able to connect to five new branches in colombia daily backup for sybase sql anywhere 7 0 database microsoft sql server 2000 database quickbooks pro database and in house program network administration implementation of ftp service for 100 branches connections creation of uses and security a ess windows 2000 server administration active directory service administration and maintenance microsoft sql server 2000 administration technical support for branch offices installation and updates of software and hardware 
INFORMATION-TECHNOLOGY,education information systems 2014 park university gpa 3 5 bachelor of science management 2007 park university magna cum ladue gpa 3 82 ,"['sql', 'r']",18,
INFORMATION-TECHNOLOGY,education computer technician 07 2006 to 06 2008 company name city state performed pc and mac hardware and software configurations troubleshot general novell client issues installed and maintained peripherals built images to be used with symantec ghost education master of science business information technology 2018 depaul university city state bachelor of science network and communications management 2009 devry university city state ,"['excel', 'sql', 'r']",0,
INFORMATION-TECHNOLOGY,education m b a dec 2007 university of massachusetts city state b s real estate may 1994 arizona state university city state ,['r'],0,certifications and training denver peak academy lean process improvement black belt harvard managementor leadership and management 12 courses microsoft certified systems engineer mcse microsoft certified systems administrator mcsa cisco certified network associate na citrix certified administrator a technical 
INFORMATION-TECHNOLOGY,education and training bachelor of science computer science troy state university city state montgomery associate of science healthcare systems community college of the air force city state montgomery,['r'],20,
INFORMATION-TECHNOLOGY,education bachelor of science bs information technology 2005 university of phoenix gpa gpa 3 67 information technology gpa 3 67 associates of applied science aas electronic technology 2003 cochise college gpa gpa 4 0 phi theta kappa electronic technology gpa 4 0 phi theta kappa associate general studies 2001 ags cochise college gpa gpa 4 0 phi theta kappa general studies gpa 4 0 phi theta kappa ,['r'],0,
INFORMATION-TECHNOLOGY,education and training jun 1996 hs diploma general studies brockport high school city state general studies may 2003 bs degree electrical engineering university of tn city state electrical engineering november 1996 usaf electronic principles june 2002 to august 2002 usaf telephone systems apprentice course september 2002 to december 2002 usaf aircrew egress systems apprentice course numerous certificates for web based training on lan fundamentals routers topologies cisco networking etc interests while stationed in south carolina performed three years of volunteer electrical work for habitat for humanity while doing this work i learned the fundamentals of wiring a house for electric cable and telephone ,['r'],0,
INFORMATION-TECHNOLOGY,education master of science computer information science 2015 university of houston city state usa top 15 of class emphasis in cyber security and information awareness coursework in operating systems and system programming coursework in computer networking and information technology bachelor of science management of information systems 2011 university of maryland university college city state usa coursework in computer networking and information technology 4 0 gpa ,['r'],0,certification project tracking hardware and software upgrade planning certified information security manager user 
INFORMATION-TECHNOLOGY,education and training bs print production graphic design computer science 1993 st john s university print production graphic design computer science technical ,['r'],0,
INFORMATION-TECHNOLOGY,education m s electrical and computer engineering dec 2013 purdue university gpa gpa 3 9 4 0 electrical and computer engineering gpa 3 9 4 0 b s electrical and computer engineering dec 2011 gpa gpa 3 2 4 0 electrical and computer engineering gpa 3 2 4 0 thesis the design and evaluation of a 5 8 ghz laptop based radar system publication innovative laptop radar design to operate in both fmcw and cw mode doppler shift dti ranging i and sar measurement capability operate in ism frequency band with 13dbm transmitting power data acquisition and signal processing using matlab ,"['sql', 'r', 'java', 'excel', 'python']",0,
INFORMATION-TECHNOLOGY,,"['java', 'excel', 'r', 'css', 'javascript', 'html', 'sql', 'python']",0,
INFORMATION-TECHNOLOGY,education diploma virginia high school city state ,"['excel', 'r']",0,
INFORMATION-TECHNOLOGY,education ms computer science 1992 university of new haven city state us ms in computer science university of new haven new haven ct 1992 bs computer science 1985 fairleigh dickinson university city state us bs in computer science fairleigh dickinson university teaneck nj 1985 links ,"['excel', 'sql', 'r']",0,certifications ait 
INFORMATION-TECHNOLOGY,education bachelor of science computer science december 1993 georgia intitute of technology city state computer science summary information technology professional with 20 years of ,"['excel', 'sql', 'html', 'r']",20,
INFORMATION-TECHNOLOGY,education bachelor of science cybersecurity may 2015 university of maryland university college city state cybersecurity computer information systems august 1993 middle tennessee state university city state computer information systems ,"['excel', 'r']",0,
INFORMATION-TECHNOLOGY,education american military university 2014 master of arts national security studies cyber security national security studies cyber security air force air command and staff college 2013 state graduate certificate aerospace cyberspace and joint professional education marymount university 2007 master science computer information systems management city state science computer information systems management marymount university 1999 bachelor of science computer information systems city state computer information systems mcafee cyber institute certified cyber intelligence professional ip 2016 professional affiliations member of the delta epsilon sigma honor society member of intelligence and national security alliance member of the senate information security it group member of council for emerging national security affairs member of partnership for secure america publications congressional scholar certificate security policy comptia a network security 2016 languages arabic fluent ,"['sql', 'r']",0,
INFORMATION-TECHNOLOGY,education bba business administration 2015 sam houston state university city state usa ,"['excel', 'r']",0,
INFORMATION-TECHNOLOGY,education b s computer science 1983 university of texas at el paso city state computer science languages bilingual fully fluent in english and spanish ,"['excel', 'r']",0,
INFORMATION-TECHNOLOGY,education bachelor of science industrial technology east carolina university city state usa industrial technologycoursework in course name associate of arts business university of phoenix wiu businesscoursework in business administration and finance number gpa ,"['sql', 'r']",0,certifications microsoft certified professional administrator comptia a network security novell netware engineer citrix administrator red hat administrator cma certified management a ountant conferred by institute of management a ountants ima affiliations vmware users group emc users group association of information technology professionals leadership development program 
INFORMATION-TECHNOLOGY,education and training master of science management and organizational leadership 08 2015 warner pacific university city state usa management and organizational leadership ,"['mysql', 'excel', 'r', 'css', 'html', 'sql']",0,certification itil foundation 2016 new horizons city state usa bachelor of science technology 06 2009 eastern washington university city state usa technology site builder and theming drupal content management 08 2012 opensourcery city state usa additional 
INFORMATION-TECHNOLOGY,education associate of science business administration 1980 richard bland college city state business administration ,"['excel', 'r']",0,certification specialist responsible for managing and monitoring information systems and network security and information systems security programs in support of the information security information assurance mission for u s army medical command and defense health agency also served as a clerk typist and secretary highlights self directed results oriented time management strong interpersonal 
INFORMATION-TECHNOLOGY,education bachelors of science computer engineering technology spring 2008 prairie view a m university city state gpa gpa 3 048 4 0 computer engineering technology gpa 3 048 4 0 personal information active ts sci w poly last update 05 2010 additional information security clearance active ts sci w poly last update 05 2010 ability to adapt to changing technology learning and applying new methods for achieving the goals of the organization tac abet a redited dean s list 2005 2007 honor roll 2006 2007 engineering technology association vice president 2005 2007 tau beta pi engineering honor society vice president 2007 2008 ,"['excel', 'r']",5,certification required for the application services provider within the 24x7 technical support tier trained current and new team members on existing and new application services procedure and commercial off the shelf cots software performed system health analysis to identify analyze collect preliminary data and recommend effective solution to anomalies coordinated and conducted low level system testing problem analysis for servers desktops and it infrastructure work analyzed all levels of total system product to include concept design fabrication test installation operation maintenance and disposal performed technical planning system integration verification and validation supportability and effective analysis for multiple systems performed functional analysis timeline analysis detail trade studies requirements allocation and interface definition studies to translate customer requirements into hardware and software policies coordinated with systems partners to finalize designs and confirm requirements are met provided continued maintenance and development of bug fixes and patch sets for existing web applications diagnosed unix and windows processing problems and execute appropriate solutions ensured network system and data availability and integrity through preventative maintenance provided documentation on start up shut down and first level troubleshooting of processes to help desk staff implemented company customer policies technical procedures and standards for preserving the integrity and security of data reports and a ess consistently met deadlines and requirements for all production work orders monitored network performance and provide network performance statistical reports for both real time and historical measurements managed network monitoring and server monitoring both on and off site recommend architectural improvements design solutions and integration solutions systems engineer associate feb 2009 to may 2010 company name city state coordinated all neas weekly brown bag seminar for the va 95 technical resource center formatted and delivered training specific to the intended party and purpose for company standards updated composed and created content in electronic format assuring a uracy and proper display for the va 95 trc technical library served as windows subject matter expert sme to research create procedures and recommended cots product to enable closed caption video content for support of the national center for missing and exploited children ncmec reviewed and routed resumes to appropriate managers as an a ount representative on the resource planning team rpt maintain a spreadsheet of employees with key contact information 
INFORMATION-TECHNOLOGY,education companies tasks included sales analysis margin analysis multivariable pricing structures vendor acquisition developing process flow and establishing kpi reporting for clientele and internal use designed ad hoc sql views stored proceduresand reports to address company wide data analysis and modeling utilized advanced vba programming and automation software to manage two billing systems saving an estimated 75 000 in salary expenses in 2015 translating to a 40 reduction in departmental spending reported on a wide array of kpis on operations sales a ounting and vendors via dashboard style bi ssrs reports for coo cfo vice president of sales and a ount manager use overhauled all company technology from on premise systems to an array of cloud solutions including replacing hardware and migrating servers and databases this renovation saves 108 000 per year and provides long term scalability 01 2015 to 01 2017 company name city state co founded indoor hydroponic farming company in south jersey bringing a hyper local product to the camden and philadelphia region hgf generated 100k in its first year via a strategic relationship with the premier food management service in philadelphia local restaurants farmer s markets and whole foods retail chain sales operations planning s op the s op team managed bi directional interactions between sales marketing production and finance s op committee oversaw finished goods inventory controls marketing vs financial targets raw material and supplier management logistics and human capital planning additionally benchmarks for product mix sku management and forecast vs demand vs actual alignment operations oversaw the general operations of the farm including assigning day to day jobs tracking yield results establishing daily work schedules and tracking transplanting harvesting schedules automation systems implemented an array of sensors to control environmental and nutrient levels utilizing this data and automation systems we drove automated ph balancing nutrient leveling temperature control ventilation systems and established a strong exception based manufacturing operation finance oversaw all aspects of the financial responsibilities including establishing a point of sales systems p l reports budgeting for opex and capex schedules coordinating with lenders insurance institutions and annual tax reports sops instituted standard operating procedures to ensure quality standards are maintained and product consistency is maintained work history master data manager 01 2019 to current company name city state aligning 100 supply chain related master data attributes to ensure the following guidelines are met data stewardship appropriate business units and ownership established to validate appropriate values definitions and impact documentation for all master data fields data quality applicable controls are set in conjecture with it to ensure that a proactive approach is taken to new master data additionally rpa process planned for phase 2 to automate structured data entry and maintenance data integrity data warehousing structure business logic to ensure boms and other data relationships are both a essible and built as an asset for the business additionally a data sync sop was established for gs1 standardization reporting automate data quality reporting for executive staff to ensure 99 8 compliance is adhered to throughout the organization additionally provide ad hoc tools for the business to leverage clean data cubes data governance committee oversee executive strategy in institutional master data to commit to trusted a urate structured and meaningful master data engaging applicable stakeholders to promote data governance data architect data stewardship and data security the data governance committee oversees the framework for complex supply chain manufacturing operations director of information technology 01 2017 to 01 2019 company name city state supply chain management warehouse 3pl food services served as the corporate project manager overseeing all implementations wms erp qms cmms infrastructure responsibilities included progress reporting budget control task delegation plan creation vendor coordination etc developed a range of documents and performed project selection tasks such as workflow process maps system integration documents infrastructure topology organizational policies gdpr uat gap analysis best fit models and user training manuals deployed and managed bi products to leverage company wide data for decisionmakers proactive analysis and real time resource planning utilizing ssrs powerbi to analyze sets of data across multiple databases automate value add reporting to 3pl clients visualize kpis thru the organization create workflows for document automation and create alerts for various business units launched a high performance data warehouses and virtual machines to store integrate analyze and report on enterprise data an array of ssas cubes were deployed to allow for end user ad hoc tabular reports additionally a complex network of interfaces between 6 enterprise systems 4 sql databases 1 oracle database and other enterprise systems file server exchange edi etc was implemented to support the etl process executing infrastructure refresh for a 200 000 sqft industrial production facility the deployment includes an array of 15 switches 1 000 cable runs racking 100 ap 300 cameras nvrs controllers and creating floor plans and topology documents controlled a 2mm it budget short term and long term strategies and capex justification across the business including selecting and negotiating with vendors promoting operational process improvement instituting best practices and developing it roadmaps and strategic plans on track to reduce it spend by 250k by renegotiating vendor contracts consolidating cloud services implementing automation tools and upgrading legacy systems responsible for a team of it professionals and vendors assigned to all corporate and local office systems including erp wms logistics systems data centers servers and storage pcs mobile devices bdr telecom and help desk reduced it service desk s response time and resolution time while increasing knowledge base and reducing reo urring tickets by over 50 information technology governance steering committee itgsc reporting directly to the board of directors the itgsc provided strategic direction in aligning it projects to shareholder interest and long term targets while overseeing the committee the cross functional team guided 12 business units across operations sales and manufacturing additionally the itgsc aided in risk management business continuity and organizational sops natjan solutions facility management retail medical grocery sectors information technology and analytics manager 01 2014 to 01 2017 implemented process within external erp portal to monetize 1000 s of vendors to generate lean revenue based on financial and operational data analysis this program is estimated to bring in 325 000 in its first year an 8 increase in margin created ad hoc and scheduled bi powerbi ssrs reports to visualize critical client metrics and reports internal performance kpis operational resource planning asset and revenue forecasting p l summaries expense budgets etc spearheaded national rfp bids of multi million dollar procurement deals with several fortune 500 retail medical and education companies tasks included sales analysis margin analysis multivariable pricing structures vendor acquisition developing process flow and establishing kpi reporting for clientele and internal use designed ad hoc sql views stored procedures and reports to address company wide data analysis and modeling utilized advanced vba programming and automation software to manage two billing systems saving an estimated 75 000 in salary expenses in 2015 translating to a 40 reduction in departmental spending reported on a wide array of kpis on operations sales a ounting and vendors via dashboard style bi ssrs reports for coo cfo vice president of sales and a ount manager use overhauled all company technology from on premise systems to an array of cloud solutions including replacing hardware and migrating servers and databases this renovation saves 108 000 per year and provides long term scalability 01 2015 to 01 2017 company name city state co founded indoor hydroponic farming company in south jersey bringing a hyper local product to the camden and philadelphia region hgf generated 100k in its first year via a strategic relationship with the premier food management service in philadelphia local restaurants farmer s markets and whole foods retail chain sales operations planning s op the s op team managed bi directional interactions between sales marketing production and finance s op committee oversaw finished goods inventory controls marketing vs financial targets raw material and supplier management logistics and human capital planning additionally benchmarks for product mix sku management and forecast vs demand vs actual alignment operations oversaw the general operations of the farm including assigning day to day jobs tracking yield results establishing daily work schedules and tracking transplanting harvesting schedules automation systems implemented an array of sensors to control environmental and nutrient levels utilizing this data and automation systems we drove automated ph balancing nutrient leveling temperature control ventilation systems and established a strong exception based manufacturing operation finance oversawall aspects of the financial responsibilities including establishing a point of sales systems p l reports budgeting for opex and capex schedules coordinating with lenders insurance institutions and annual tax reports sops instituted standard operating procedures to ensure quality standards are maintained and product consistency is maintained education bachelor of science management of information systems 2017 associates of science a ounting 2015 rowan college pursuing project management professional pmp ,"['excel', 'r', 'tableau', 'css', 'html', 'sql', 'python']",0,certification rowan university summary zeel patel is an information technology manager with a focus on it transformation and process improvement currently looking for opportunities in the greater miami fl metropolitan area zeel has 
INFORMATION-TECHNOLOGY,education b s computer science 1999 montclair state university computer science ,['r'],0,
INFORMATION-TECHNOLOGY,education excellent record of problem solving and achieving results in high operations tempo environments su essful team leader and highly motivated mentor with proven dedication to self and subordinate improvement superior knowledge of infosec netops techniques to determine requirements for information technology equipment and systems excellent knowledge and ability to negotiate in financial control budget systems and security management working knowledge of budget and cost analysis processes thorough knowledge of office of management and budget omb department of defense dod and u s air force regulations principles and practices pertaining to logistics infosec netops installations and mission support functions exceptional ability to recognize and analyze problems conduct research summarize results and make appropriate recommendations recognized expert in dod planning programming budgeting and execution ppbe process expertise in capability planning in it environment enterprise technical ,"['excel', 'r']",0,certification and a reditation standards ri processes procedures security practices and ia vulnerability tools i e acas ability to apply knowledge of current security tools and techniques to execute authority to connect and authority to operate network systems thorough knowledge of scada systems operations security safeguards and protection security clearance top secret sci w ci polygraph professional 
